,calories,parsed_ingredients
130,201.0,"[902, 282, 44, 27, 25, 21, 0]"
131,824.0,"[902, 884, 882, 625, 452, 242, 195, 174, 74, 34, 25, 0]"
132,94.0,"[882, 152, 62, 32, 21]"
133,582.0,"[353, 305, 274, 242, 135, 115, 97, 72, 61]"
134,139.0,"[882, 562, 72, 48, 18]"
135,262.0,"[902, 210, 54, 25, 19]"
136,1763.0,"[882, 352, 274, 265, 251, 83, 77, 40, 0, 0]"
137,265.0,"[720, 318, 270, 92, 80]"
138,74.0,"[351, 27]"
139,267.0,"[882, 411, 403, 80, 42, 21, 13]"
140,98.0,"[884, 357, 342, 111, 41, 31, 27, 22, 0]"
141,518.0,"[884, 405, 263, 194, 182, 103, 97, 67, 61, 23, 21, 0, 0]"
142,507.0,"[884, 236, 80, 67, 42, 40, 22, 21]"
143,356.0,"[884, 857, 405, 149, 80, 67, 25, 23, 22, 21, 21]"
144,519.0,"[884, 522, 395, 368, 274, 180, 111, 67, 21]"
145,436.0,"[560, 494, 486, 405, 311, 290, 100, 81, 23, 21, 0]"
146,457.0,"[884, 857, 274, 117, 112, 99, 80, 67, 41, 27, 23, 21]"
147,293.0,"[882, 533, 347, 304, 274, 167, 100, 80, 23, 21]"
148,509.0,"[884, 720, 573, 381, 281, 207, 186, 180, 100, 74, 67, 21]"
149,597.0,"[405, 274, 251, 194, 152, 80, 72, 67, 21, 0]"
150,358.0,"[884, 274, 194, 116, 100, 80, 67]"
151,219.0,"[902, 407, 405, 364, 353, 72, 35, 32, 22, 21]"
152,66.0,"[882, 111]"
153,58.0,"[625, 250, 111, 69, 23, 21, 20]"
154,221.0,"[882, 691, 271, 261, 149, 60, 54, 20, 18]"
155,482.0,"[882, 364, 242, 97, 67, 20, 0]"
156,149.0,"[388, 329, 295, 72, 27, 21, 20, 0]"
157,118.0,"[882, 628, 48, 46, 21, 20]"
158,203.0,"[261, 251, 143, 97, 92, 30, 20, 18, 0]"
159,254.0,"[720, 493, 405, 364, 196, 89, 0, 0]"
160,169.0,"[332, 253, 100, 21, 13]"
161,167.0,"[318, 100, 97, 57]"
162,219.0,"[53, 53, 21]"
163,1030.0,"[882, 692, 500, 271, 251, 250, 160, 124, 34]"
164,381.0,"[400, 281, 231, 57, 21, 21]"
165,216.0,"[889, 882, 388, 72, 37, 21, 0, 0]"
166,291.0,"[882, 367, 236, 160, 97, 91, 72, 60, 48, 37, 35, 23, 21]"
167,259.0,"[857, 347, 270, 159, 21]"
168,75.0,"[553, 70, 61, 0, 0]"
169,394.0,"[529, 405, 250, 242, 233, 1]"
170,738.0,"[882, 654, 525, 405, 395, 380, 364, 335, 299, 288, 247, 178, 41, 40, 16, 0, 0]"
171,621.0,"[882, 431, 378, 364, 280, 265, 157, 103, 100, 97, 93, 91, 83, 82, 40, 27, 18, 0]"
172,1078.0,"[494, 395, 290, 149, 137, 100, 82, 60, 18, 18, 0]"
173,219.0,"[882, 692, 356, 341, 255, 150, 91, 27, 22, 0]"
174,574.0,"[383, 250]"
175,799.0,"[882, 692, 375, 236, 208, 131, 103, 19]"
176,211.0,"[720, 212, 46]"
177,1031.0,"[882, 233, 115, 97, 17, 0]"
178,515.0,"[364, 276, 265, 251, 233, 97, 30, 21, 18]"
179,8.0,"[884, 882, 357, 345, 274, 209, 93, 40, 23]"
180,321.0,"[654, 562, 562, 405, 403, 304, 247, 247, 115, 0]"
181,473.0,"[902, 654, 364, 342, 315, 251, 115, 97, 61, 48, 16, 0]"
182,241.0,"[720, 405, 364, 362, 115, 111, 97, 61, 16, 0]"
183,462.0,"[882, 582, 148, 46, 13, 0]"
184,254.0,"[405, 252, 82, 43, 21]"
185,523.0,"[882, 380, 254, 251, 250, 179, 93, 78, 75, 40, 18]"
186,298.0,"[882, 582, 553, 407, 405, 351, 281, 257, 1, 0]"
187,884.0,"[720, 692, 405, 281, 250, 97, 93, 23, 21, 0]"
188,688.0,"[882, 357, 356, 148, 88, 52, 40]"
189,472.0,"[692, 400, 350, 233, 30, 23, 18, 0]"
190,291.0,"[405, 395, 367, 364, 299, 288, 261, 97, 16, 0, 0]"
191,961.0,"[882, 720, 411, 403, 357, 251, 250, 100, 78, 21, 14, 0]"
192,276.0,"[395, 351, 315, 290, 263, 180, 27, 0]"
193,1180.0,"[884, 562, 484, 274, 227, 218, 36]"
194,899.0,"[494, 381, 357, 315, 301, 274, 212, 115, 93, 23, 21, 0, 0]"
195,965.0,"[902, 364, 322, 274, 227, 93, 37, 27, 0]"
196,544.0,"[882, 498, 115, 72, 60, 27, 23, 0]"
197,1085.0,"[407, 315, 276, 257, 124]"
198,599.0,"[889, 882, 494, 364, 276, 274, 180, 115, 93, 67, 21]"
199,507.0,"[884, 882, 334, 111, 97, 40, 27, 0, 0]"
200,560.0,"[882, 673, 486, 458, 315, 276, 274, 235, 97, 91, 89, 74, 32, 29, 16]"
201,765.0,"[395, 299, 257, 247, 133, 97]"
202,386.0,"[720, 562, 405, 345, 305, 299, 152, 57, 28, 0]"
203,469.0,"[562, 464, 395, 335, 299, 252, 48, 46, 46]"
204,150.0,"[720, 395, 247, 216, 182, 167, 89]"
205,359.0,"[286, 274, 270, 147, 40, 27, 0]"
206,473.0,"[882, 500, 431, 251, 250, 147, 103, 93, 83, 72, 40]"
207,311.0,"[720, 525, 364, 111, 27, 0]"
208,295.0,"[720, 408, 403, 149, 97, 61, 27, 0, 0]"
209,1084.0,"[717, 484, 237, 229, 52, 27, 21, 0]"
210,2631.0,"[358, 229, 147, 40, 17]"
211,386.0,"[882, 720, 408, 276, 274, 93, 72, 50, 27, 23, 0]"
212,316.0,"[411, 282, 274, 180, 135, 97, 40, 18, 0]"
213,870.0,"[691, 364, 353, 335, 275, 274, 212, 100, 51, 46, 40, 36, 25, 18, 16, 0]"
214,224.0,"[720, 405, 270, 97, 61]"
215,634.0,"[882, 282, 274, 111, 100, 23, 21]"
216,826.0,"[405, 345, 274, 60, 40]"
217,995.0,"[335, 245, 56]"
218,966.0,"[882, 720, 718, 458, 405, 395, 364, 354, 258, 230, 200, 122, 97, 97, 53, 50, 21, 16, 0]"
219,623.0,"[882, 654, 388, 334, 274, 177, 83, 83, 74, 70, 49, 40, 36, 32, 0]"
220,264.0,"[720, 654, 387, 288, 261, 247, 97, 61, 57, 53, 50, 43, 0]"
221,396.0,"[720, 364, 351, 342, 242, 227, 83, 74, 16]"
222,252.0,"[882, 562, 295, 111, 53, 42]"
223,758.0,"[882, 720, 431, 364, 315, 236, 227, 97, 97, 29]"
224,696.0,"[882, 720, 271, 257, 217, 97, 40]"
225,249.0,"[882, 560, 393, 380, 318, 315, 247, 149, 49, 40, 34]"
226,810.0,"[882, 691, 397, 353, 297, 148, 131, 93, 93, 83, 40, 22, 0]"
227,493.0,"[902, 720, 388, 320, 251, 83, 75, 40, 31, 0]"
228,623.0,"[320, 54, 40]"
229,184.0,"[882, 290, 149, 36, 30, 23, 0]"
230,348.0,"[628, 562, 276, 261, 180, 105, 25]"
231,392.0,"[395, 375, 335, 290, 247, 87, 80]"
232,96.0,"[720, 364, 157, 77, 62, 30, 27, 16, 0, 0]"
233,352.0,"[720, 654, 405, 378, 352, 304, 274, 263, 247, 0]"
234,166.0,"[882, 274, 251, 115, 107, 69, 47, 40, 18, 0, 0]"
235,1742.0,"[902, 854, 458, 341, 274, 265, 149, 93, 37, 18, 18, 0]"
236,169.0,"[882, 274, 251, 60, 18]"
237,193.0,"[387, 242, 53, 43, 18]"
238,1677.0,"[882, 405, 196, 72, 27, 18, 0]"
239,57.0,"[405, 278, 251, 88]"
240,274.0,"[654, 612, 405, 364, 354, 326, 288, 97, 16, 0]"
241,538.0,"[654, 562, 405, 364, 288, 247, 97, 89, 61, 0, 0]"
242,472.0,"[720, 567, 527, 405, 381, 322, 288, 242, 97, 61, 49, 0]"
243,642.0,"[567, 405, 395, 388, 381, 364, 322, 288, 281, 242, 233, 124, 61, 0, 0]"
244,523.0,"[562, 500, 405, 381, 364, 361, 340, 322, 288, 257, 228, 216, 89, 61, 57, 30, 16, 0, 0]"
245,787.0,"[471, 405, 395, 364, 326, 257, 231, 97, 62, 57, 50, 16, 0]"
246,107.0,"[882, 493, 326, 282, 261, 247, 0]"
247,523.0,"[562, 405, 393, 364, 236, 124, 99, 97, 61, 53, 49, 0]"
248,376.0,"[720, 441, 395, 352, 337, 319, 247, 242, 231, 91, 66]"
249,1076.0,"[720, 405, 354, 261, 242, 236, 231, 201, 60, 50, 16]"
